schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember.js, @glimmer/runtime.js, 174001, 69546, 17939, 15097, 0.1417, 18130, 15992
module, experiment: drop ie11, ember.js, @glimmer/util.js, 6364, 2982, 769, 647, 0.0061, 1081, 953
module, experiment: drop ie11, ember.js, @glimmer/vm.js, 1335, 320, 83, 69, 0.0007, 228, 190
module, experiment: drop ie11, ember.js, @glimmer/wire-format.js, 3003, 1644, 424, 357, 0.0034, 668, 581
module, experiment: drop ie11, ember.js, backburner.js, 35662, 12577, 3244, 2730, 0.0256, 4024, 3637
module, experiment: drop ie11, ember.js, dag-map.js, 5989, 2442, 630, 530, 0.005, 940, 842
module, experiment: drop ie11, ember.js, ember-babel.js, 4179, 1080, 279, 234, 0.0022, 547, 471
module, experiment: drop ie11, ember.js, ember/index.js, 18238, 8910, 2298, 1934, 0.0182, 3061, 2756
module, experiment: drop ie11, ember.js, ember/version.js, 238, 149, 38, 32, 0.0003, 147, 118
module, experiment: drop ie11, ember.js, node-module/index.js, 689, 347, 90, 75, 0.0007, 222, 185
module, experiment: drop ie11, ember.js, route-recognizer.js, 22968, 7704, 1987, 1672, 0.0157, 3073, 2746
module, experiment: drop ie11, ember.js, router_js.js, 80431, 25213, 6503, 5473, 0.0514, 7530, 6828
module, experiment: drop ie11, ember.js, rsvp.js, 71239, 12375, 3192, 2686, 0.0252, 4184, 3764
module, experiment: drop ie11, vendor.js, vendor/ember-cli/vendor-prefix.js, 266, 171, 43, 36, 0.0002, 167, 142
module, experiment: drop ie11, vendor.js, vendor/loader/loader.js, 8964, 4355, 1094, 908, 0.006, 1631, 1491
module, experiment: drop ie11, vendor.js, vendor/regenerator-runtime/runtime.js, 21975, 5735, 1441, 1196, 0.0078, 2156, 1975
module, experiment: drop ie11, vendor.js, vendor/ember/ember.js, 1951356, 489939, 123064, 102156, 0.67, 126529, 106447
module, experiment: drop ie11, vendor.js, vendor/ember-fetch.js, 27012, 12511, 3143, 2609, 0.0171, 4216, 3728
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/-private.js, 17539, 3760, 944, 784, 0.0051, 1521, 1347
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/error.js, 11763, 1718, 432, 358, 0.0023, 699, 587
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/index.js, 21579, 804, 202, 168, 0.0011, 377, 322
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/json-api.js, 6663, 882, 222, 184, 0.0012, 489, 421
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/rest.js, 43787, 8081, 2030, 1685, 0.0111, 3054, 2692
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/adapter/version.js, 252, 163, 41, 34, 0.0002, 157, 126
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/canary-features/default-features.js, 918, 307, 77, 64, 0.0004, 243, 187
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/canary-features/index.js, 1880, 1081, 272, 225, 0.0015, 515, 427
module, experiment: drop ie11, vendor.js, addon-tree-output/@ember-data/model/-private.js, 14024, 2063, 518, 430, 0.0028, 856, 729
